Sõna,Abstraktsus,Sagedus keeles,Sagedusgrupp keeles,Sagedusgrupp õpikuis,Sagedus õpikuis,Sagedus 123,Sagedus 4,Sagedus 5,Sagedus 6,Sagedus 7,Sagedus 8,Sagedus 9
aabits,1,16,3,2,11,9,2,0,0,0,0,0
aade,3,9,4,7,1,1,0,0,0,0,0,0
aadress,3,72,1,1,40,10,13,0,4,7,6,0
aadressandmed,3,-,-,7,1,0,0,0,0,1,0,0
aamen,3,10,4,-,0,0,0,0,0,0,0,0
aardejaht,2,-,-,7,1,0,1,0,0,0,0,0
aare,1,-,-,7,1,0,0,0,1,0,0,0
aaria,2,6,5,-,0,0,0,0,0,0,0,0
aas,1,25,2,4,4,0,2,1,0,1,0,0
aasima,-,5,5,-,0,0,0,0,0,0,0,0
aasta,3,3337,1,1,348,50,86,30,18,59,50,55
aastaaeg,2,14,3,1,41,10,15,1,9,5,1,0
aastaajaline,-,-,-,7,1,0,0,0,0,1,0,0
aastaarv,3,-,-,3,7,0,1,0,0,5,1,0
aastaarvestus,3,-,-,7,1,0,0,0,0,1,0,0
aastakaart,1,-,-,7,1,0,1,0,0,0,0,0
aastakäik,1,7,5,-,0,0,0,0,0,0,0,0
aastakümme,3,50,2,-,0,0,0,0,0,0,0,0
aastane,-,48,2,1,58,3,13,15,5,8,6,8
aastanumber,2,-,-,7,1,0,0,1,0,0,0,0
aastapalk,3,6,5,-,0,0,0,0,0,0,0,0
aastapäev,3,29,2,7,1,1,0,0,0,0,0,0
aastaring,2,-,-,5,3,0,1,1,1,0,0,0
aastaringselt,-,-,-,7,1,0,0,1,0,0,0,0
aastasada,3,7,5,-,0,0,0,0,0,0,0,0
aastasadu,-,6,5,-,0,0,0,0,0,0,0,0
aastaselt,-,-,-,7,1,0,0,0,0,0,1,0
aastatepikkune,-,8,4,-,0,0,0,0,0,0,0,0
aastatetagune,-,6,5,-,0,0,0,0,0,0,0,0
aastatuhat,3,14,3,-,0,0,0,0,0,0,0,0
aastavahetus,2,10,4,-,0,0,0,0,0,0,0,0
aata,-,-,-,7,1,0,0,0,1,0,0,0
aatemees,1,5,5,-,0,0,0,0,0,0,0,0
abi,3,326,1,1,58,4,9,6,11,4,15,9
abielluma,-,33,2,3,7,0,0,0,0,1,0,6
abiellumine,2,12,3,-,0,0,0,0,0,0,0,0
abielu,3,77,1,3,6,0,0,2,0,1,0,3
abielumees,-,6,5,-,0,0,0,0,0,0,0,0
